Generation 1

[[2.0,21.0,1.0], 3.7098310957124294]
[[2.0,21.1,1.0], 3.7067994802945]
[[2.1,21.0,1.0], 3.7089649198787353]
[[2.0,21.0,0.9], 3.7089649198787353]
[[2.0,21.0,1.1], 3.7093980077955826]
[[2.0,20.9,1.0], 3.7098310957124294]
[[2.0,22.0,1.0], 3.7098310957124294]
[[2.0,20.0,1.0], 3.7098310957124294]
[[1.9,21.0,1.0], 3.711563447379818]
[[3.0,21.0,1.0], 3.711563447379818]
[[2.0,21.0,2.0], 3.714595062797748]
[[1.0,21.0,1.0], 3.715461238631442]
[[2.0,21.0,0.0], 4.178432221741013]
Generation 2

[[2.0,21.1,1.0], 3.7067994802945]
[[2.0,21.1,1.1], 3.7059333044608054]
[[2.0,20.1,1.0], 3.7067994802945]
[[2.0,22.1,1.0], 3.7072325682113467]
[[3.0,21.1,1.0], 3.7089649198787353]
[[1.9,21.1,1.0], 3.7093980077955826]
[[2.0,21.2,1.0], 3.7098310957124294]
[[2.0,21.0,1.0], 3.7098310957124294]
[[2.0,21.1,0.9], 3.7098310957124294]
[[1.0,21.1,1.0], 3.7124296232135126]
[[2.1,21.1,1.0], 3.7128627111303594]
[[2.0,21.1,2.0], 3.7150281507145952]
[[2.0,21.1,0.0], 4.178432221741013]
Generation 3

[[2.0,21.1,1.1], 3.7059333044608054]
[[2.0,22.1,1.1], 3.7059333044608054]
[[2.0,20.1,1.1], 3.7059333044608054]
[[2.0,21.1,1.0], 3.7067994802945]
[[3.0,21.1,1.1], 3.7072325682113467]
[[2.0,21.0,1.1], 3.7093980077955826]
[[2.0,21.1,1.2], 3.7093980077955826]
[[2.1,21.1,1.1], 3.7098310957124294]
[[1.9,21.1,1.1], 3.710697271546124]
[[2.0,21.2,1.1], 3.711563447379818]
[[1.0,21.1,1.1], 3.7119965352966653]
[[2.0,21.1,2.1], 3.7141619748809007]
[[2.0,21.1,0.1], 3.9341706366392377]
Generation 4

[[2.0,22.1,1.1], 3.7059333044608054]
[[2.0,23.1,1.1], 3.704634040710264]
[[2.0,21.1,1.1], 3.7059333044608054]
[[3.0,22.1,1.1], 3.7072325682113467]
[[2.0,22.1,1.0], 3.7072325682113467]
[[2.0,22.0,1.1], 3.7093980077955826]
[[2.0,22.1,1.2], 3.7093980077955826]
[[2.1,22.1,1.1], 3.7098310957124294]
[[1.9,22.1,1.1], 3.7111303594629708]
[[1.0,22.1,1.1], 3.711563447379818]
[[2.0,22.2,1.1], 3.711563447379818]
[[2.0,22.1,2.1], 3.7163274144651366]
[[2.0,22.1,0.1], 3.9341706366392377]
Generation 5

[[2.0,23.1,1.1], 3.704634040710264]
[[2.0,24.1,1.1], 3.704634040710264]
[[3.0,23.1,1.1], 3.7059333044608054]
[[2.0,22.1,1.1], 3.7059333044608054]
[[2.0,23.1,1.2], 3.7067994802945]
[[2.0,23.1,1.0], 3.7072325682113467]
[[2.0,23.0,1.1], 3.7093980077955826]
[[2.1,23.1,1.1], 3.7098310957124294]
[[1.0,23.1,1.1], 3.7102641836292767]
[[1.9,23.1,1.1], 3.7111303594629708]
[[2.0,23.2,1.1], 3.711563447379818]
[[2.0,23.1,2.1], 3.7163274144651366]
[[2.0,23.1,0.1], 3.9341706366392377]
Generation 6

[[2.0,24.1,1.1], 3.704634040710264]
[[2.0,23.1,1.1], 3.704634040710264]
[[3.0,24.1,1.1], 3.7055002165439586]
[[2.0,24.1,1.0], 3.7072325682113467]
[[2.0,25.1,1.1], 3.707665656128194]
[[2.1,24.1,1.1], 3.7093980077955826]
[[2.0,24.0,1.1], 3.7093980077955826]
[[1.0,24.1,1.1], 3.7102641836292767]
[[1.9,24.1,1.1], 3.7111303594629708]
[[2.0,24.1,1.2], 3.7111303594629708]
[[2.0,24.2,1.1], 3.711563447379818]
[[2.0,24.1,2.1], 3.7163274144651366]
[[2.0,24.1,0.1], 3.934603724556085]
