Generation 1
[[1.9,18.1,2.1], 3.7128627111303594]
[[2.9,18.1,3.1], 3.7388479861411867]
[[2.9,18.1,1.1], 3.7102641836292767]
Generation 11

[[2.9,17.1,2.1], 3.696838458207016]
[[3.9,17.1,2.1], 3.6977046340407105]
[[2.8,17.1,2.1], 3.70073624945864]
[[2.9,18.1,2.1], 3.7024686011260286]
[[2.9,17.0,2.1], 3.7033347769597227]
[[3.0,17.1,2.1], 3.70376786487657]
[[1.9,17.1,2.1], 3.70376786487657]
[[2.9,16.1,2.1], 3.7055002165439586]
[[2.9,17.1,2.2], 3.7059333044608054]
[[2.9,17.1,2.0], 3.7072325682113467]
[[2.9,17.2,2.1], 3.707665656128194]
[[2.9,17.1,3.1], 3.737115634473798]
[[2.9,17.1,1.1], 3.7102641836292767]
